Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,BioProject,Library Name,tissue,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,BioSampleModel,Cultivar,dev_stage,Collection_Date,AGE,isolate,Ecotype,treatment,replicate,source_name,HOST,collected_by,isolation_source,GEO_Accession (exp),sample_type,lat_lon,strain,BIOMATERIAL_PROVIDER,id,BREED,genotype,sex,disease_stage,disease,infected_with,treatment_time,tree_number,Developmental_stage,temp,env_broad_scale,env_local_scale,env_medium,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_name,INSDC_status,Sample_name,Submitter_Id,host_tissue_sampled,infection,Development_stage,lab_host,PHENOTYPE,Month,Scientific_Name,ENA_first_public,common_name,cell_type,Host_disease,external_id,INSDC_first_public,INSDC_last_update,population,altitude,replicates,samp_size,isol_growth_condt,geographic_location_(country_and/or_sea),Note,height_or_length,Biological_Replicate,Host_age,sequencer,tissue_type,host_sex,host_subject_id,species_in_sample,sub_species,rootstock,samp_vol_we_dna_ext,scion,collection_method,host_common_name,host_dry_mass,host_genotype,host_height,host_length,host_life_stage,host_phenotype,host_subspecf_genlin,host_symbiont,host_taxid,host_tot_mass,misc_param,neg_cont_type,omics_observ_id,organism_count,oxy_stat_samp,perturbation,pos_cont_type,samp_collect_device,samp_mat_process,samp_store_dur,samp_store_loc,samp_store_temp,source_material_id,biol_stat,host_blood_press_diast,host_blood_press_syst,host_body_habitat,host_body_product,host_body_temp,host_color,Host_diet,host_family_relationship,host_growth_cond,host_last_meal,host_shape,host_substrate,rel_to_oxygen,samp_capt_status,samp_dis_stage,samp_salinity,size_frac,cell_line,geographic_location_(region_and_locality),growth_protocol,insert_size_n (exp)
SRR13434409,RNA-Seq,300,6227537100,SAMN17311260,2109397964,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847961,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s37,SRP301679,2021-01-14T01:03:00Z,1,PRJNA691971,s37,pulp,China,Asia,China: Hubei Province,Plant,Newhall,230 days after flowering (DAF),,not collect,fruit,Hubei,,biological replicate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434410,RNA-Seq,300,6629021700,SAMN17311259,2251421382,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847960,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s33,SRP301679,2021-01-14T00:59:00Z,1,PRJNA691971,s33,pulp,China,Asia,China: Hubei Province,Plant,Newhall,200 days after flowering (DAF),,not collect,fruit,Hubei,,biological replicate 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434411,RNA-Seq,300,6813559500,SAMN17311258,2293234664,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847959,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s32,SRP301679,2021-01-14T01:36:00Z,1,PRJNA691971,s32,pulp,China,Asia,China: Hubei Province,Plant,Newhall,200 days after flowering (DAF),,not collect,fruit,Hubei,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434412,RNA-Seq,300,7536429300,SAMN17311249,2518364828,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847958,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s14,SRP301679,2021-01-14T01:03:00Z,1,PRJNA691971,s14,pulp,China,Asia,China: Hubei Province,Plant,Newhall,90 days after flowering (DAF),,not collect,fruit,Hubei,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434413,RNA-Seq,300,5640621900,SAMN17311248,1929426858,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847957,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s13,SRP301679,2021-01-14T01:02:00Z,1,PRJNA691971,s13,pulp,China,Asia,China: Hubei Province,Plant,Newhall,90 days after flowering (DAF),,not collect,fruit,Hubei,,biological replicate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13453749,RNA-Seq,300,7966474500,SAMN17376288,2438827070,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9866662,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-18T00:00:00Z,SWO-canker-control6,SRP280058,2021-01-18T11:16:00Z,1,PRJNA612768,SWO-control6-2,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13453750,RNA-Seq,300,9060944100,SAMN17376288,2783852594,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9866661,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-18T00:00:00Z,SWO-canker-control6,SRP280058,2021-01-18T10:57:00Z,1,PRJNA612768,SWO-control6-1,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13479653,RNA-Seq,300,11654985600,SAMN17372731,3572089353,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9892362,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-18T00:00:00Z,SWO-canker-treatment6,SRP280058,2021-01-18T21:57:00Z,1,PRJNA612768,SWO-treatment6-2,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13479654,RNA-Seq,300,8586366000,SAMN17372731,2637956983,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9892361,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-18T00:00:00Z,SWO-canker-treatment6,SRP280058,2021-01-18T21:50:00Z,1,PRJNA612768,SWO-treatment6-1,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13480359,RNA-Seq,300,10439001900,SAMN17376557,3340384212,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9893068,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-18T00:00:00Z,SWO-canker-control24,SRP280058,2021-01-18T23:21:00Z,1,PRJNA612768,SWO-control24-2,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13480360,RNA-Seq,300,11932822500,SAMN17376557,3663551665,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9893067,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-18T00:00:00Z,SWO-canker-control24,SRP280058,2021-01-18T23:20:00Z,1,PRJNA612768,SWO-control24-1,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13480364,RNA-Seq,300,9697136700,SAMN17376693,2974838252,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9893073,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-19T00:00:00Z,SWO-canker-control48,SRP280058,2021-01-18T23:32:00Z,1,PRJNA612768,DH-D48-3,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13480365,RNA-Seq,300,9052029000,SAMN17376693,2768401164,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9893072,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-19T00:00:00Z,SWO-canker-control48,SRP280058,2021-01-18T23:38:00Z,1,PRJNA612768,DH-D48-2,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13480431,RNA-Seq,300,9312248700,SAMN17376637,2850642719,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9893140,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-19T00:00:00Z,SWO-canker-treatment24,SRP280058,2021-01-19T02:14:00Z,1,PRJNA612768,SWO-T24-2,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13480432,RNA-Seq,300,7634355600,SAMN17376637,2345476870,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9893139,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-19T00:00:00Z,SWO-canker-treatment24,SRP280058,2021-01-19T02:12:00Z,1,PRJNA612768,SWO-T24-1,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13480464,RNA-Seq,300,12519703500,SAMN17376727,3815807617,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9893173,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-19T00:00:00Z,SWO-canker-treatment48,SRP280058,2021-01-19T02:53:00Z,1,PRJNA612768,SWO-T48-2,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13480465,RNA-Seq,300,9368082600,SAMN17376727,2838455888,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9893172,HiSeq X Ten,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2021-01-19T00:00:00Z,SWO-canker-treatment48,SRP280058,2021-01-19T02:55:00Z,1,PRJNA612768,SWO-T48-1,leaf,China,Asia,China,Plant,SWO,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13495148,RNA-Seq,299,6544009250,SAMN17313512,2062634978,SOUTHWEST UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9907153,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Citrus,ILLUMINA,2021-06-30T00:00:00Z,OE28,SRP302641,2021-01-22T14:40:00Z,1,PRJNA692096,OE281,leaf,China,Asia,China: Chongqing,Plant,Wanjincheng orange,mature,,two years,transgenic plant,Citrus sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13495150,RNA-Seq,299,6485386242,SAMN17313508,2026754106,SOUTHWEST UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9907151,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Citrus,ILLUMINA,2021-06-30T00:00:00Z,OE13,SRP302641,2021-01-22T14:44:00Z,1,PRJNA692096,OE132,leaf,China,Asia,China: Chongqing,Plant,Wanjincheng orange,mature,,two years,transgenic plant,Citrus sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13495153,RNA-Seq,298,9989549752,SAMN17313530,3175914802,SOUTHWEST UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9907148,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Citrus,ILLUMINA,2021-06-30T00:00:00Z,WJwt,SRP302641,2021-01-22T14:53:00Z,1,PRJNA692096,WJwt2,leaf,China,Asia,China: Chongqing,Plant,Wanjincheng orange,mature,,two years,Wildtype plant,Citrus sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR17225387,RNA-Seq,300,13791112200,SAMN24012957,4283084282,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13404752,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Citrus x limon,ILLUMINA,2024-01-01T00:00:00Z,lemon,SRP350692,2021-12-14T07:58:00Z,1,PRJNA788633,lemon-guo2,fruit,China,Asia,China,Plant,YLK,mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
